Symptom1,Symptom2,Symptom3,Disease
Cough,Loss of appetite,Sore throat,COVID-19_530891
Jaundice,Night sweats,Fatigue,Conjunctivitis_216128
Chills,Swollen glands,Sore throat,Typhoid_924380
Chills,Blurred vision,Insomnia,UTI_339064
Abdominal pain,Sweating,Itchy skin,Malaria_867245
Headache,Anxiety,Vomiting,Gastroenteritis_80293
Joint pain,Loss of appetite,Rash,Tetanus_137442
Abdominal pain,Hair loss,Sore throat,HIV/AIDS_973708
Sneezing,Rash,Muscle pain,Hypertension_427296
Anxiety,Blurred vision,Constipation,COVID-19_453059
Tingling,Sweating,Night sweats,Migraine_714715
Jaundice,Itchy skin,Rash,Bronchitis_924846
Muscle pain,Weight loss,Dry mouth,Dengue_309220
Dry mouth,Rash,Vomiting,Lupus_568084
Muscle pain,Wheezing,Sore throat,COVID-19_506097
Weight loss,Jaundice,Night sweats,Epilepsy_286326
Hair loss,Fatigue,Depression,Ulcerative Colitis_245775
Red eyes,Itchy skin,Chills,Depression_164977
Itchy skin,Anxiety,Loss of appetite,Hepatitis A_680582
Tingling,Abdominal pain,Rash,Anemia_546126
Red eyes,Runny nose,Dizziness,Vertigo_133905
Chills,Shortness of breath,Runny nose,Pneumonia_104567
Sore throat,Itchy skin,Chills,Epilepsy_813486
Palpitations,Loss of appetite,Muscle pain,Chikungunya_83048
Nausea,Tremors,Vomiting,Tuberculosis_439442
Chills,Hearing loss,Sweating,Gonorrhea_575025
Rash,Dry mouth,Muscle pain,Migraine_764165
Constipation,Dry mouth,Wheezing,Arthritis_383701
Hearing loss,Runny nose,Dry mouth,Sinusitis_584100
Runny nose,Weight loss,Cough,Scabies_311227
Sweating,Dizziness,Constipation,Syphilis_321763
Chest pain,Constipation,Sore throat,Hypertension_336492
Tremors,Insomnia,Joint pain,Mononucleosis_565465
Sweating,Back pain,Chest pain,Pneumonia_353289
Dry mouth,Abdominal pain,Chills,Bronchitis_72098
Rash,Chest pain,Runny nose,Diabetes_161967
Fatigue,Red eyes,Cough,Measles_768553
Shortness of breath,Back pain,Diarrhea,Pneumonia_10589
Back pain,Shortness of breath,Insomnia,Lupus_39774
Night sweats,Sweating,Chest pain,Hepatitis B_515917
Tingling,Nausea,Fever,Hypertension_408758
Vomiting,Nausea,Muscle pain,Arthritis_891357
Joint pain,Shortness of breath,Constipation,Pneumonia_483699
Anxiety,Wheezing,Abdominal pain,Gastroenteritis_928211
Chest pain,Depression,Chills,COVID-19_743365
Sneezing,Insomnia,Dizziness,Depression_276619
Sneezing,Chills,Hearing loss,Lupus_199486
Palpitations,Swollen glands,Loss of appetite,Meningitis_953014
Anxiety,Headache,Sore throat,Epilepsy_683996
Headache,Sweating,Chest pain,Hypertension_388104
Insomnia,Headache,Tremors,Thalassemia_981911
Sore throat,Hair loss,Jaundice,Mononucleosis_873849
Blurred vision,Sneezing,Vomiting,Glaucoma_517570
Shortness of breath,Loss of appetite,Fever,Malaria_736421
Cough,Runny nose,Swollen glands,Leprosy_399861
Back pain,Abdominal pain,Fever,Hepatitis A_627636
Tingling,Back pain,Cough,HIV/AIDS_284582
Red eyes,Shortness of breath,Hair loss,Dengue_798430
Weight loss,Blurred vision,Cough,Leprosy_837229
Fever,Weight loss,Night sweats,Dengue_713974
Weight loss,Fever,Back pain,Chikungunya_907046
Red eyes,Sweating,Dizziness,UTI_645976
Vomiting,Constipation,Abdominal pain,Lupus_572454
Sore throat,Cough,Itchy skin,Chickenpox_145233
Wheezing,Diarrhea,Tremors,Pneumonia_467553
Muscle pain,Shortness of breath,Vomiting,Leprosy_579859
Hair loss,Tingling,Nausea,Syphilis_453553
Insomnia,Anxiety,Palpitations,Jaundice_114200
Tingling,Fever,Nausea,Tuberculosis_333504
Swollen glands,Tremors,Headache,Influenza_805328
Night sweats,Hearing loss,Blurred vision,Chickenpox_172695
Cough,Wheezing,Vomiting,Bronchitis_358540
Wheezing,Abdominal pain,Diarrhea,Chickenpox_7831
Sweating,Rash,Constipation,Ulcerative Colitis_592845
Wheezing,Depression,Runny nose,Tetanus_645190
Wheezing,Sweating,Hair loss,Influenza_910530
Chest pain,Headache,Depression,Syphilis_473057
Jaundice,Swollen glands,Hearing loss,Sinusitis_666624
Red eyes,Hearing loss,Chest pain,Zika Virus_602094
Runny nose,Nausea,Insomnia,Ulcerative Colitis_42639
Jaundice,Sneezing,Palpitations,Asthma_853717
Palpitations,Constipation,Vomiting,Hepatitis A_309776
Fever,Hearing loss,Sore throat,Celiac Disease_976183
Blurred vision,Itchy skin,Tingling,Meningitis_488874
Tremors,Chills,Anxiety,Cholera_501695
Fever,Diarrhea,Chest pain,Diabetes_831267
Back pain,Fatigue,Loss of appetite,Hepatitis A_404858
Sweating,Back pain,Tremors,Psoriasis_349865
Back pain,Headache,Sweating,Depression_38201
Tingling,Vomiting,Rash,Anemia_377858
Hair loss,Sneezing,Muscle pain,Asthma_118177
Anxiety,Wheezing,Fatigue,Depression_901943
Sweating,Hair loss,Swollen glands,Tonsillitis_759548
Tremors,Back pain,Dizziness,Hepatitis B_350317
Cough,Vomiting,Fatigue,COVID-19_338335
Headache,Sweating,Hearing loss,Syphilis_188087
Dizziness,Jaundice,Tremors,Zika Virus_739312
Swollen glands,Wheezing,Shortness of breath,Dengue_233780
Weight loss,Anxiety,Jaundice,Gonorrhea_357583
Dizziness,Dry mouth,Nausea,Tonsillitis_523936
Runny nose,Fatigue,Dizziness,Mononucleosis_450143
Itchy skin,Sweating,Loss of appetite,Typhoid_808828
Anxiety,Muscle pain,Hearing loss,Cholera_941041
Joint pain,Shortness of breath,Dry mouth,Thalassemia_418733
Loss of appetite,Insomnia,Weight loss,Chickenpox_74853
Fatigue,Runny nose,Jaundice,Hepatitis B_854385
Dizziness,Blurred vision,Swollen glands,Jaundice_773012
Fever,Shortness of breath,Dry mouth,Diabetes_161323
Sore throat,Shortness of breath,Dry mouth,Jaundice_395352
Chills,Vomiting,Joint pain,Vertigo_298999
Fever,Blurred vision,Headache,Multiple Sclerosis_4864
Cough,Depression,Night sweats,Dengue_981832
Shortness of breath,Loss of appetite,Muscle pain,Mononucleosis_556587
Chills,Tingling,Wheezing,Cholera_751935
Sneezing,Anxiety,Abdominal pain,Depression_790715
Anxiety,Night sweats,Vomiting,Ulcerative Colitis_350655
Sore throat,Abdominal pain,Constipation,Hepatitis B_585055
Dry mouth,Tingling,Hair loss,Meningitis_166138
Anxiety,Tremors,Rash,Psoriasis_385101
Wheezing,Anxiety,Rash,Leprosy_729175
Abdominal pain,Hair loss,Itchy skin,Thalassemia_147885
Fever,Dizziness,Loss of appetite,Zika Virus_535072
Tingling,Fever,Vomiting,Rabies_545780
Fatigue,Dry mouth,Sweating,Influenza_722528
Fever,Fatigue,Red eyes,Syphilis_210673
Runny nose,Diarrhea,Cough,Ulcerative Colitis_664053
Joint pain,Itchy skin,Muscle pain,Meningitis_504974
Sore throat,Sweating,Cough,Gonorrhea_929271
Joint pain,Swollen glands,Back pain,Psoriasis_323323
Sneezing,Rash,Muscle pain,Dengue_231710
Back pain,Chills,Nausea,Chickenpox_578185
Cough,Hair loss,Headache,Diabetes_898013
Cough,Blurred vision,Dizziness,Migraine_929581
Diarrhea,Swollen glands,Wheezing,Gonorrhea_89311
Loss of appetite,Muscle pain,Fever,Diabetes_333409
Swollen glands,Diarrhea,Chills,Sinusitis_710600
Jaundice,Cough,Tremors,Thalassemia_759409
Itchy skin,Back pain,Red eyes,Hepatitis A_179826
Blurred vision,Dizziness,Chills,Vertigo_350059
Tremors,Hair loss,Swollen glands,UTI_64904
Dizziness,Nausea,Muscle pain,Hepatitis A_388068
Vomiting,Fatigue,Red eyes,Gastroenteritis_498525
Blurred vision,Sweating,Jaundice,Scabies_546655
Tingling,Chills,Sneezing,Conjunctivitis_490610
Loss of appetite,Sweating,Headache,Asthma_251853
Abdominal pain,Dry mouth,Palpitations,Arthritis_685047
Vomiting,Dry mouth,Depression,Thalassemia_887795
Diarrhea,Back pain,Weight loss,Zika Virus_952844
Dry mouth,Sweating,Abdominal pain,Cholera_764033
Sneezing,Joint pain,Insomnia,Tetanus_989408
Dizziness,Insomnia,Abdominal pain,Malaria_206869
Red eyes,Rash,Chills,Epilepsy_422578
Sore throat,Hearing loss,Insomnia,Hepatitis A_181850
Cough,Itchy skin,Sore throat,Multiple Sclerosis_240798
Dizziness,Headache,Diarrhea,Chikungunya_357622
Diarrhea,Abdominal pain,Night sweats,Influenza_265932
Sore throat,Sneezing,Shortness of breath,Meningitis_873848
Chills,Depression,Nausea,Conjunctivitis_22882
Sneezing,Hearing loss,Chills,Tuberculosis_672478
Dizziness,Sneezing,Sore throat,Bronchitis_523312
Dry mouth,Chest pain,Hair loss,Thalassemia_1145
Sneezing,Insomnia,Shortness of breath,Chikungunya_770150
Itchy skin,Abdominal pain,Fever,Tuberculosis_723308
Fatigue,Hair loss,Sneezing,Syphilis_953297
Back pain,Hearing loss,Runny nose,Jaundice_157118
Tremors,Shortness of breath,Fever,HIV/AIDS_124226
Itchy skin,Dry mouth,Chills,COVID-19_170987
Red eyes,Runny nose,Cough,Ulcerative Colitis_51287
Rash,Sore throat,Diarrhea,Migraine_621979
Dry mouth,Chills,Anxiety,Depression_748625
Constipation,Back pain,Vomiting,Bronchitis_229096
Muscle pain,Insomnia,Headache,Psoriasis_796847
Loss of appetite,Insomnia,Tremors,Glaucoma_108492
Nausea,Dry mouth,Tremors,Glaucoma_382698
Runny nose,Joint pain,Fatigue,Sinusitis_868242
Runny nose,Night sweats,Headache,Depression_768911
Runny nose,Loss of appetite,Diarrhea,Bronchitis_733670
Sweating,Sneezing,Chest pain,Influenza_154244
Palpitations,Tremors,Weight loss,Zika Virus_408020
Itchy skin,Insomnia,Back pain,Gastroenteritis_167279
Runny nose,Blurred vision,Sneezing,Cholera_795635
Fatigue,Chills,Headache,Hepatitis B_883687
Weight loss,Red eyes,Insomnia,Tuberculosis_407794
Chills,Diarrhea,Wheezing,Epilepsy_650232
Jaundice,Blurred vision,Itchy skin,Meningitis_625908
Jaundice,Loss of appetite,Night sweats,Hypertension_477758
Runny nose,Hearing loss,Diarrhea,Mononucleosis_41065
Dry mouth,Abdominal pain,Runny nose,Multiple Sclerosis_873666
Night sweats,Itchy skin,Wheezing,Diabetes_948383
Constipation,Jaundice,Anxiety,Zika Virus_630982
Palpitations,Abdominal pain,Hair loss,Asthma_331065
Diarrhea,Headache,Abdominal pain,Leprosy_618499
Rash,Sneezing,Back pain,Chickenpox_981743
Insomnia,Jaundice,Cough,Vertigo_680569
Loss of appetite,Sore throat,Depression,Jaundice_409704
Runny nose,Abdominal pain,Joint pain,Ulcerative Colitis_984535
Back pain,Sore throat,Shortness of breath,Thalassemia_396837
Weight loss,Night sweats,Shortness of breath,Celiac Disease_299109
Blurred vision,Headache,Hearing loss,Psoriasis_64251
Loss of appetite,Itchy skin,Weight loss,Mononucleosis_228653
Jaundice,Red eyes,Constipation,Bronchitis_946834
Dizziness,Rash,Joint pain,Asthma_297393
Itchy skin,Chest pain,Shortness of breath,Tuberculosis_385944
Vomiting,Abdominal pain,Hair loss,Hypertension_693360
Dry mouth,Fever,Swollen glands,HIV/AIDS_917358
Depression,Shortness of breath,Blurred vision,Zika Virus_744970
Fatigue,Night sweats,Vomiting,Tuberculosis_952572
Swollen glands,Palpitations,Weight loss,Gonorrhea_224735
Diarrhea,Tingling,Itchy skin,Diabetes_95451
Depression,Hair loss,Palpitations,Epilepsy_96576
Blurred vision,Vomiting,Palpitations,Typhoid_954188
Cough,Diarrhea,Loss of appetite,Gonorrhea_635285
Nausea,Back pain,Tingling,Migraine_607673
Nausea,Jaundice,Itchy skin,Hepatitis B_817493
Weight loss,Swollen glands,Tremors,Tetanus_720446
Loss of appetite,Jaundice,Rash,Hypertension_5016
Cough,Dizziness,Vomiting,Asthma_298727
Loss of appetite,Headache,Red eyes,Dengue_999588
Back pain,Sore throat,Insomnia,Dengue_75816
Red eyes,Depression,Nausea,Meningitis_675174
Constipation,Headache,Chest pain,Celiac Disease_816471
Sweating,Rash,Swollen glands,Gonorrhea_756725
Nausea,Chest pain,Chills,Multiple Sclerosis_849792
Chest pain,Swollen glands,Weight loss,Influenza_957082
Joint pain,Loss of appetite,Constipation,Zika Virus_265880
Vomiting,Runny nose,Fatigue,Cholera_699541
Weight loss,Vomiting,Blurred vision,Arthritis_747239
Rash,Shortness of breath,Diarrhea,Migraine_141233
Tingling,Sneezing,Blurred vision,Arthritis_781923
Tingling,Depression,Night sweats,Bronchitis_728932
Tingling,Sneezing,Fever,Scabies_853935
Sneezing,Dry mouth,Joint pain,Migraine_156781
Blurred vision,Insomnia,Nausea,Influenza_675056
Itchy skin,Cough,Joint pain,HIV/AIDS_401652
Swollen glands,Shortness of breath,Runny nose,Jaundice_567944
Hair loss,Wheezing,Constipation,Measles_294937
Insomnia,Rash,Swollen glands,Mononucleosis_801583
Night sweats,Cough,Hearing loss,Multiple Sclerosis_370380
Joint pain,Fever,Wheezing,Influenza_420538
Shortness of breath,Loss of appetite,Abdominal pain,Meningitis_617766
Tremors,Jaundice,Chest pain,Bronchitis_993478
Chills,Vomiting,Blurred vision,Syphilis_31825
Wheezing,Weight loss,Diarrhea,Influenza_348272
Cough,Muscle pain,Night sweats,Tuberculosis_297900
Tingling,Itchy skin,Blurred vision,Tonsillitis_944008
Insomnia,Diarrhea,Hearing loss,UTI_711986
Wheezing,Itchy skin,Rash,Meningitis_625218
Itchy skin,Abdominal pain,Cough,Hepatitis B_471113
Sneezing,Swollen glands,Loss of appetite,Tonsillitis_692572
Chest pain,Fatigue,Vomiting,Tuberculosis_934724
Fever,Muscle pain,Night sweats,Zika Virus_46598
Fever,Sweating,Wheezing,HIV/AIDS_385506
Back pain,Rash,Night sweats,Migraine_673361
Rash,Fever,Swollen glands,Hepatitis B_293645
Sneezing,Hair loss,Depression,Hepatitis B_785477
Jaundice,Joint pain,Muscle pain,Syphilis_181555
Headache,Chest pain,Tingling,Cholera_676771
Diarrhea,Fever,Red eyes,Syphilis_820587
Chills,Swollen glands,Palpitations,Asthma_12285
Palpitations,Runny nose,Sneezing,Tuberculosis_21302
Cough,Muscle pain,Depression,Scabies_463349
Depression,Sneezing,Swollen glands,Syphilis_760051
Abdominal pain,Red eyes,Night sweats,Bronchitis_257616
Hearing loss,Abdominal pain,Itchy skin,Psoriasis_70231
Wheezing,Sneezing,Sore throat,HIV/AIDS_9962
Shortness of breath,Diarrhea,Joint pain,Glaucoma_692646
Vomiting,Nausea,Wheezing,Lupus_650700
Anxiety,Diarrhea,Blurred vision,Rabies_196916
Sneezing,Abdominal pain,Fatigue,Syphilis_919073
Wheezing,Sneezing,Nausea,Hepatitis B_323315
Palpitations,Tremors,Sore throat,Bronchitis_315898
Depression,Swollen glands,Night sweats,Thalassemia_366569
Dry mouth,Wheezing,Weight loss,Dengue_263128
Loss of appetite,Insomnia,Hearing loss,HIV/AIDS_871358
Tingling,Weight loss,Hearing loss,Sinusitis_224932
Joint pain,Hearing loss,Chills,Ulcerative Colitis_979843
Cough,Tingling,Palpitations,Scabies_794365
Fatigue,Tremors,Sore throat,Chickenpox_541845
Diarrhea,Jaundice,Sneezing,Malaria_808549
Dizziness,Back pain,Headache,Ulcerative Colitis_577711
Sore throat,Depression,Itchy skin,Sinusitis_663128
Hearing loss,Wheezing,Tremors,Epilepsy_455790
Jaundice,Itchy skin,Hearing loss,Tonsillitis_417032
Anxiety,Blurred vision,Hair loss,Zika Virus_336306
Night sweats,Chest pain,Blurred vision,Glaucoma_529576
Weight loss,Red eyes,Depression,COVID-19_588713
Red eyes,Vomiting,Blurred vision,Hypertension_23968
Chest pain,Depression,Runny nose,Sinusitis_538146
Diarrhea,Hearing loss,Sneezing,Tetanus_802418
Back pain,Runny nose,Palpitations,Gastroenteritis_726133
Runny nose,Hair loss,Chest pain,Meningitis_994874
Sweating,Rash,Fatigue,Leprosy_499451
Anxiety,Insomnia,Loss of appetite,Tonsillitis_207180
Palpitations,Sore throat,Tremors,Cholera_593879
Red eyes,Hair loss,Back pain,Vertigo_405995
Diarrhea,Cough,Dizziness,Psoriasis_520755
Constipation,Fatigue,Chest pain,Conjunctivitis_687766
Insomnia,Jaundice,Weight loss,Thalassemia_591371
Hair loss,Tremors,Loss of appetite,COVID-19_634023
Chills,Loss of appetite,Back pain,Pneumonia_955889
Hair loss,Insomnia,Weight loss,Syphilis_419789
Sore throat,Diarrhea,Dizziness,Jaundice_120272
Vomiting,Red eyes,Swollen glands,Ulcerative Colitis_76173
Depression,Swollen glands,Runny nose,Celiac Disease_499071
Anxiety,Sweating,Abdominal pain,Conjunctivitis_837726
Back pain,Headache,Itchy skin,Diabetes_208013
Red eyes,Vomiting,Depression,Glaucoma_943668
Shortness of breath,Constipation,Depression,Mononucleosis_902599
Dry mouth,Palpitations,Cough,Asthma_455265
Dizziness,Tingling,Blurred vision,Zika Virus_565202
Night sweats,Headache,Itchy skin,Dengue_642536
Jaundice,Sneezing,Insomnia,Asthma_139199
Diarrhea,Chest pain,Insomnia,Chikungunya_483524
Rash,Hearing loss,Night sweats,Ulcerative Colitis_764425
Rash,Wheezing,Abdominal pain,Glaucoma_270918
Muscle pain,Headache,Dizziness,COVID-19_273935
Hearing loss,Diarrhea,Anxiety,Tonsillitis_609404
Abdominal pain,Red eyes,Runny nose,Pneumonia_247397
Cough,Hearing loss,Constipation,Chikungunya_424368
Chills,Rash,Tingling,Malaria_691203
Red eyes,Tremors,Fever,Hypertension_270574
Nausea,Fatigue,Back pain,Hepatitis B_64795
Fever,Tremors,Weight loss,Epilepsy_261992
Tingling,Sneezing,Abdominal pain,Zika Virus_232760
Shortness of breath,Chills,Joint pain,Meningitis_168484
Nausea,Hearing loss,Sweating,Mononucleosis_983421
Headache,Nausea,Insomnia,Cholera_476947
Night sweats,Joint pain,Chest pain,Lupus_663810
Diarrhea,Abdominal pain,Chills,Epilepsy_243224
Itchy skin,Dry mouth,Cough,Asthma_461613
Weight loss,Sweating,Abdominal pain,Tetanus_190388
Chest pain,Jaundice,Red eyes,UTI_715896
Sore throat,Fatigue,Loss of appetite,Mononucleosis_194061
Weight loss,Jaundice,Shortness of breath,Depression_739517
Sneezing,Constipation,Swollen glands,Scabies_79157
Blurred vision,Dry mouth,Tremors,Jaundice_319498
Runny nose,Blurred vision,Dry mouth,Zika Virus_257784
Nausea,Palpitations,Tingling,Tuberculosis_910574
Swollen glands,Cough,Muscle pain,Bronchitis_527038
Tremors,Shortness of breath,Chills,Mononucleosis_871273
Jaundice,Loss of appetite,Chest pain,Migraine_621013
Wheezing,Red eyes,Diarrhea,Influenza_871430
Dry mouth,Jaundice,Weight loss,HIV/AIDS_566654
Swollen glands,Dry mouth,Palpitations,Cholera_223855
Rash,Joint pain,Chills,Pneumonia_882427
Tingling,Abdominal pain,Cough,Tonsillitis_787746
Wheezing,Rash,Tingling,Chickenpox_943149
Back pain,Insomnia,Sore throat,Vertigo_265925
Night sweats,Abdominal pain,Sweating,Malaria_315567
Depression,Runny nose,Diarrhea,Sinusitis_46774
Palpitations,Back pain,Tremors,Leprosy_428381
Sore throat,Chest pain,Fever,Leprosy_582159
Palpitations,Headache,Red eyes,Cholera_861415
Vomiting,Headache,Jaundice,Lupus_447196
Abdominal pain,Weight loss,Nausea,Leprosy_639337
Rash,Swollen glands,Constipation,Tonsillitis_464182
Hearing loss,Back pain,Fever,Arthritis_356515
Abdominal pain,Loss of appetite,Dizziness,Measles_432569
Palpitations,Dizziness,Dry mouth,Hypertension_238374
Dry mouth,Hearing loss,Sweating,Hepatitis A_205448
Shortness of breath,Sore throat,Fatigue,Influenza_812872
Diarrhea,Chest pain,Muscle pain,Gastroenteritis_840765
Tremors,Blurred vision,Swollen glands,Psoriasis_852737
Loss of appetite,Shortness of breath,Muscle pain,Ulcerative Colitis_854079
Sore throat,Headache,Insomnia,Diabetes_649107
Hair loss,Rash,Fatigue,Hepatitis B_545725
Runny nose,Dry mouth,Muscle pain,Depression_170359
Runny nose,Palpitations,Weight loss,Zika Virus_586132
Sneezing,Dizziness,Headache,Measles_10933
Night sweats,Red eyes,Insomnia,Gastroenteritis_419037
Sweating,Palpitations,Cough,COVID-19_381989
Anxiety,Headache,Wheezing,Zika Virus_133446
Vomiting,Runny nose,Depression,Multiple Sclerosis_632810
Fever,Tingling,Itchy skin,Hepatitis B_146675
Weight loss,Diarrhea,Itchy skin,Bronchitis_160970
Jaundice,Constipation,Joint pain,Jaundice_884608
Headache,Dry mouth,Vomiting,Celiac Disease_591623
Runny nose,Jaundice,Chest pain,Scabies_620255
Sweating,Joint pain,Shortness of breath,Hepatitis A_776032
Diarrhea,Insomnia,Chills,Hypertension_471640
Jaundice,Depression,Back pain,Conjunctivitis_621756
Chest pain,Itchy skin,Abdominal pain,Measles_985029
Chills,Headache,Abdominal pain,Scabies_251473
Headache,Jaundice,Swollen glands,Chikungunya_311990
Sneezing,Fever,Joint pain,Sinusitis_493572
Cough,Abdominal pain,Depression,Epilepsy_669230
Jaundice,Nausea,Muscle pain,Arthritis_123433
Hair loss,Sneezing,Wheezing,Influenza_212020
Insomnia,Wheezing,Runny nose,Tonsillitis_183076
Fatigue,Dry mouth,Night sweats,Scabies_968475
Hair loss,Fever,Jaundice,Lupus_890038
Fatigue,Sweating,Sneezing,Sinusitis_356262
Joint pain,Rash,Tremors,Sinusitis_119592
Back pain,Hair loss,Anxiety,Ulcerative Colitis_475545
Depression,Night sweats,Weight loss,Epilepsy_469728
Fever,Chest pain,Sneezing,Psoriasis_238545
Rash,Headache,Insomnia,Psoriasis_459161
Hair loss,Shortness of breath,Night sweats,Sinusitis_24924
Muscle pain,Itchy skin,Diarrhea,Vertigo_468877
Dry mouth,Night sweats,Anxiety,Jaundice_855628
Swollen glands,Tingling,Tremors,Gonorrhea_793893
Shortness of breath,Fever,Chills,Cholera_754833
Vomiting,Palpitations,Wheezing,Anemia_367002
Night sweats,Tingling,Fatigue,Leprosy_60059
Vomiting,Muscle pain,Rash,UTI_203594
Hair loss,Dry mouth,Headache,Vertigo_868847
Palpitations,Tingling,Itchy skin,Celiac Disease_732567
Palpitations,Diarrhea,Anxiety,Asthma_742167
Palpitations,Muscle pain,Hair loss,Conjunctivitis_539922
Red eyes,Weight loss,Fever,Anemia_262628
Jaundice,Tingling,Rash,Meningitis_639984
